speaker_id,gender,subset,length,path
jvs001,M,parallel,171860,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_023.wav
jvs001,M,parallel,147016,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_037.wav
jvs001,M,parallel,181215,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_036.wav
jvs001,M,parallel,315153,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_022.wav
jvs001,M,parallel,199434,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_008.wav
jvs001,M,parallel,114083,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_034.wav
jvs001,M,parallel,176781,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_020.wav
jvs001,M,parallel,170773,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_021.wav
jvs001,M,parallel,203362,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_035.wav
jvs001,M,parallel,165532,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_009.wav
jvs001,M,parallel,120817,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_031.wav
jvs001,M,parallel,119444,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_025.wav
jvs001,M,parallel,198854,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_019.wav
jvs001,M,parallel,181438,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_018.wav
jvs001,M,parallel,210852,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_024.wav
jvs001,M,parallel,149682,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_030.wav
jvs001,M,parallel,116105,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_026.wav
jvs001,M,parallel,238964,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_032.wav
jvs001,M,parallel,97474,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_033.wav
jvs001,M,parallel,176628,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_027.wav
jvs001,M,parallel,173038,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_083.wav
jvs001,M,parallel,228671,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_097.wav
jvs001,M,parallel,165275,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_068.wav
jvs001,M,parallel,119502,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_040.wav
jvs001,M,parallel,295806,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_054.wav
jvs001,M,parallel,94231,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_055.wav
jvs001,M,parallel,160976,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_041.wav
jvs001,M,parallel,227422,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_069.wav
jvs001,M,parallel,227284,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_096.wav
jvs001,M,parallel,163288,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_082.wav
jvs001,M,parallel,352043,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_094.wav
jvs001,M,parallel,174421,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_080.wav
jvs001,M,parallel,129850,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_057.wav
jvs001,M,parallel,177193,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_043.wav
jvs001,M,parallel,131461,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_042.wav
jvs001,M,parallel,203667,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_056.wav
jvs001,M,parallel,222367,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_081.wav
jvs001,M,parallel,198538,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_095.wav
jvs001,M,parallel,113275,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_091.wav
jvs001,M,parallel,259951,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_085.wav
jvs001,M,parallel,196493,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_052.wav
jvs001,M,parallel,150727,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_046.wav
jvs001,M,parallel,204486,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_047.wav
jvs001,M,parallel,156380,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_053.wav
jvs001,M,parallel,205944,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_084.wav
jvs001,M,parallel,164107,jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_090.wav
